,Unnamed: 0.1,Unnamed: 0,Item,Cost,size,Likes,ImgLink,Wear,Category
94,94,47,"Nike Dunk Low Retro Shoes ""Red Panda"" Black White FB3354-001 Men's Sizes NEW",139.9,,,https://i.ebayimg.com/thumbs/images/g/RwMAAOSwCmNkG1f5/s-l300.jpg,Brand New,Brand New
65,65,18,Nike Air Jordan 5 Retro SE Craft Shoes Orewood Brown FD9222-180 Men's & GS NEW,139.9,,,https://i.ebayimg.com/thumbs/images/g/CigAAOSwijVkb5V0/s-l300.jpg,Brand New,Brand New
126,126,79,Nike Dunk Low Panda Size 6 - 15 — DD1391 100 In Hand 100% AUTHENTIC,135.0,,,https://i.ebayimg.com/thumbs/images/g/-vAAAOSwmmNkCyzr/s-l300.jpg,Brand New,
108,108,61,Nike Air Max 2017 Men's Sneakers Running Shoes Black 849559 004 Size 8-14,129.99,,,https://i.ebayimg.com/thumbs/images/g/Zb0AAOSwaA5jnh12/s-l300.jpg,Brand New,Brand New
57,57,10,Nike Air Jordan 5 Retro SE Craft Shoes Orewood Brown FD9222-180 Men's & GS NEW,129.9,,,https://i.ebayimg.com/thumbs/images/g/CigAAOSwijVkb5V0/s-l300.jpg,Brand New,Brand New
82,82,35,Nike Air Jordan 1 Retro High OG White Cement DZ5485-052 Mens New,128.99,,,https://i.ebayimg.com/thumbs/images/g/UDcAAOSwtWJkbN5p/s-l300.jpg,Brand New,Brand New
12,12,12,NIKE WMNS AIR FORCE 1 '07 LX COCONUT MILK/LIGHT BONE PLATFORMS D09456 100 Boutique,127.0,Size: 8,2.0,,,
124,124,77,Nike Air Max 1 White Mica Green DZ4549-100 Mens New,125.99,,,https://i.ebayimg.com/thumbs/images/g/FEsAAOSwoSNkXlRK/s-l300.jpg,Brand New,
61,61,14,Nike Dunk Low Retro White Black Panda DD1391-100,125.0,,,https://i.ebayimg.com/thumbs/images/g/sREAAOSwJeRgTEC-/s-l300.jpg,Brand New,Brand New
53,53,6,Nike Dunk Low Retro White Black Panda DD1391-100,125.0,,,https://i.ebayimg.com/thumbs/images/g/sREAAOSwJeRgTEC-/s-l300.jpg,Brand New,Brand New
36,36,36,Nike Blazer Low SE NWT,124.0,Size: 8,2.0,,,
80,80,33,"Nike Air Jordan 1 Mid Shoes ""Aquatone"" White Celestial Gold DQ8426-400 Men's NEW",123.4,,,https://i.ebayimg.com/thumbs/images/g/LAMAAOSwoipkY-Cf/s-l300.jpg,Brand New,Brand New
50,50,3,Nike Dunk Low Retro White Black Panda  WOMENS DD1503-101 MENS DD1391-100,120.0,,,https://i.ebayimg.com/thumbs/images/g/srUAAOSwKXti699K/s-l300.jpg,Brand New,Brand New
59,59,12,Nike Dunk Low Retro White Black Panda  WOMENS DD1503-101 MENS DD1391-100,120.0,,,https://i.ebayimg.com/thumbs/images/g/srUAAOSwKXti699K/s-l300.jpg,Brand New,Brand New
95,95,48,NEW! Nike Air Jordan 1 Retro High OG Skyline DX0054-805 (Mens),119.99,,,https://i.ebayimg.com/thumbs/images/g/EAcAAOSwQx9kZqfr/s-l300.jpg,Brand New,Brand New
79,79,32,Nike Dunk Low Spray Paint Swoosh Stencil FD0661-100,119.99,,,https://i.ebayimg.com/thumbs/images/g/sq4AAOSwtqFkV96n/s-l300.jpg,Brand New,Brand New
101,101,54,Nike Air Jordan 1 Low Retro True Blue Cement Grey 553560-412 Men's or GS NEW ,119.97,,,https://i.ebayimg.com/thumbs/images/g/TDwAAOSwX3BkB-NI/s-l300.jpg,Brand New,Brand New
33,33,33,NIKE AIR MAX 200 NWT,119.0,Size: Various,16.0,,,
27,27,27,Nike Air Max Tailwind IV SP ‘Digi Camo’ NWT,119.0,Size: 7.5,23.0,,,
81,81,34,Nike Dunk Low Industrial Blue Sashiko Mens DV0834-101 NEW,114.99,,,https://i.ebayimg.com/thumbs/images/g/ww4AAOSwhyFj9oh2/s-l300.jpg,Brand New,Brand New
77,77,30,Nike Air Jordan Jumpman Two Trey Lucky Green White DO1925-130 Men’s Shoes NEW,113.99,,,https://i.ebayimg.com/thumbs/images/g/UKMAAOSwZAlkcnKZ/s-l300.jpg,Brand New,Brand New
114,114,67,Nike Air Jordan 1 Retro OG High Cement Elephant Print DZ5485-052 Men's or GS NEW,112.99,,,https://i.ebayimg.com/thumbs/images/g/Bz0AAOSwautkUXUP/s-l300.jpg,Brand New,Brand New
74,74,27,Nike Air Jordan 1 Low Shoes Lucky Green Black 553558-065 Men's or GS NEW,112.99,,,https://i.ebayimg.com/thumbs/images/g/dHQAAOSw7ApkVXei/s-l300.jpg,Brand New,Brand New
99,99,52,Nike Air Max 1 PRM Corduroy Coral Stardust FB8915-600 Mens New,111.99,,,https://i.ebayimg.com/thumbs/images/g/V7AAAOSwm~lkb9un/s-l300.jpg,Brand New,Brand New
121,121,74,Nike Air Jordan 6 Retro Cool Grey Mens & GS CT8529-100 NEW,110.39,,,https://i.ebayimg.com/thumbs/images/g/OEQAAOSwlUpkAOx1/s-l300.jpg,Brand New,
28,28,28,NEW NIKE AIR MAX 2090 SIZE MEN 10 / WOMEN 11.5,110.0,Size: 10,1.0,,,
46,46,46,Nike AIR FORCE 1 NWT,110.0,Size: 9,9.0,,,
98,98,51,Nike Cortez Shoes Midnight Navy White Aqua DM4044-400 Men's Multi Sizes NEW,109.9,,,https://i.ebayimg.com/thumbs/images/g/iekAAOSw~zRkbPyE/s-l300.jpg,Brand New,Brand New
69,69,22,Nike Air Jordan Stay Loyal Men’s White Gray Red ALL SIZE 8 to 13 New DB2884-105,108.95,,,https://i.ebayimg.com/thumbs/images/g/5acAAOSwuvdjKQ03/s-l300.jpg,Brand New,Brand New
